timestamp,freq_hz,s_meter
2026-08-10 10:45:52,14000000,-32
2026-08-10 10:45:53,14000250,-33
2026-08-10 10:45:54,14000500,-34
2026-08-10 10:45:55,14000750,-40
2026-08-10 10:45:56,14001000,-40
2026-08-10 10:45:57,14001250,-40
2026-08-10 10:45:58,14001500,-41
2026-08-10 10:45:59,14001750,-40
2026-08-10 10:45:59,14002000,-40
2026-08-10 10:46:00,14002250,-40
2026-08-10 10:46:01,14002500,-42
2026-08-10 10:46:02,14002750,-41
2026-08-10 10:46:03,14003000,-42
2026-08-10 10:46:04,14003250,-41
2026-08-10 10:46:05,14003500,-41
2026-08-10 10:46:06,14003750,-41
2026-08-10 10:46:06,14004000,-41
2026-08-10 10:46:07,14004250,-42
2026-08-10 10:46:08,14004500,-42
2026-08-10 10:46:09,14004750,-41
2026-08-10 10:46:10,14005000,-42
2026-08-10 10:46:11,14005250,-42
2026-08-10 10:46:12,14005500,-41
2026-08-10 10:46:13,14005750,-40
2026-08-10 10:46:14,14006000,-42
2026-08-10 10:46:14,14006250,-41
2026-08-10 10:46:15,14006500,-42
2026-08-10 10:46:16,14006750,-29
2026-08-10 10:46:17,14007000,-30
2026-08-10 10:46:18,14007250,-31
2026-08-10 10:46:19,14007500,-39
2026-08-10 10:46:20,14007750,-42
2026-08-10 10:46:21,14008000,-41
2026-08-10 10:46:21,14008250,-43
2026-08-10 10:46:22,14008500,-43
2026-08-10 10:46:23,14008750,-43
2026-08-10 10:46:24,14009000,-42
2026-08-10 10:46:25,14009250,-41
2026-08-10 10:46:26,14009500,-41
2026-08-10 10:46:27,14009750,-37
2026-08-10 10:46:28,14010000,-43
2026-08-10 10:46:28,14010250,-43
2026-08-10 10:46:29,14010500,-43
2026-08-10 10:46:30,14010750,-44
2026-08-10 10:46:31,14011000,-43
2026-08-10 10:46:32,14011250,-43
2026-08-10 10:46:33,14011500,-43
2026-08-10 10:46:34,14011750,-44
2026-08-10 10:46:35,14012000,-43
2026-08-10 10:46:36,14012250,-43
2026-08-10 10:46:36,14012500,-42
2026-08-10 10:46:37,14012750,-41
2026-08-10 10:46:38,14013000,-44
2026-08-10 10:46:39,14013250,-43
2026-08-10 10:46:40,14013500,-43
2026-08-10 10:46:41,14013750,-43
2026-08-10 10:46:42,14014000,-42
2026-08-10 10:46:43,14014250,-41
2026-08-10 10:46:43,14014500,-40
2026-08-10 10:46:44,14014750,-40
2026-08-10 10:46:45,14015000,-40
2026-08-10 10:46:46,14015250,-42
2026-08-10 10:46:47,14015500,-42
2026-08-10 10:46:48,14015750,-41
2026-08-10 10:46:49,14016000,-43
2026-08-10 10:46:50,14016250,-43
2026-08-10 10:46:50,14016500,-43
2026-08-10 10:46:51,14016750,-43
2026-08-10 10:46:52,14017000,-43
